nu = 0.000010, gamma = 50.118723, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.050010, gamma = 227.584593, recall = 0.266667, precision = 0.250000, auc = 0.082095, f1 = 0.258065
nu = 0.050010, gamma = 332.222140, recall = 0.416667, precision = 0.390625, auc = 0.174352, f1 = 0.403226
nu = 0.050010, gamma = 484.969343, recall = 0.500000, precision = 0.468750, auc = 0.244292, f1 = 0.483871
nu = 0.050010, gamma = 707.945784, recall = 0.500000, precision = 0.468750, auc = 0.266886, f1 = 0.483871
nu = 0.050010, gamma = 1033.441064, recall = 0.500000, precision = 0.468750, auc = 0.307929, f1 = 0.483871
nu = 0.050010, gamma = 1508.590709, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.050010, gamma = 2202.201950, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.050010, gamma = 3214.717816, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.050010, gamma = 4692.762459, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.050010, gamma = 6850.374048, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.050010, gamma = 10000.000000, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.100010, gamma = 50.118723, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.100010, gamma = 73.162024, recall = 0.083333, precision = 0.078125, auc = 0.003514, f1 = 0.080645
nu = 0.100010, gamma = 106.800043, recall = 0.116667, precision = 0.109375, auc = 0.010712, f1 = 0.112903
nu = 0.100010, gamma = 155.903959, recall = 0.216667, precision = 0.203125, auc = 0.039956, f1 = 0.209677
nu = 0.100010, gamma = 227.584593, recall = 0.266667, precision = 0.250000, auc = 0.082095, f1 = 0.258065
nu = 0.100010, gamma = 332.222140, recall = 0.416667, precision = 0.390625, auc = 0.174173, f1 = 0.403226
nu = 0.100010, gamma = 484.969343, recall = 0.500000, precision = 0.468750, auc = 0.244292, f1 = 0.483871
nu = 0.100010, gamma = 707.945784, recall = 0.500000, precision = 0.468750, auc = 0.266636, f1 = 0.483871
nu = 0.100010, gamma = 1033.441064, recall = 0.516667, precision = 0.484375, auc = 0.316739, f1 = 0.500000
nu = 0.100010, gamma = 1508.590709, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.100010, gamma = 2202.201950, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.100010, gamma = 3214.717816, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.100010, gamma = 4692.762459, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.100010, gamma = 6850.374048, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.100010, gamma = 10000.000000, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.150010, gamma = 50.118723, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.150010, gamma = 73.162024, recall = 0.066667, precision = 0.062500, auc = 0.002341, f1 = 0.064516
nu = 0.150010, gamma = 106.800043, recall = 0.116667, precision = 0.109375, auc = 0.010712, f1 = 0.112903
nu = 0.150010, gamma = 155.903959, recall = 0.216667, precision = 0.203125, auc = 0.039956, f1 = 0.209677
nu = 0.150010, gamma = 227.584593, recall = 0.266667, precision = 0.250000, auc = 0.082095, f1 = 0.258065
nu = 0.150010, gamma = 332.222140, recall = 0.416667, precision = 0.390625, auc = 0.174533, f1 = 0.403226
nu = 0.150010, gamma = 484.969343, recall = 0.500000, precision = 0.468750, auc = 0.244292, f1 = 0.483871
nu = 0.150010, gamma = 707.945784, recall = 0.500000, precision = 0.468750, auc = 0.266886, f1 = 0.483871
nu = 0.150010, gamma = 1033.441064, recall = 0.516667, precision = 0.484375, auc = 0.307712, f1 = 0.500000
nu = 0.150010, gamma = 1508.590709, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.150010, gamma = 2202.201950, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.150010, gamma = 3214.717816, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.150010, gamma = 4692.762459, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.150010, gamma = 6850.374048, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.150010, gamma = 10000.000000, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.200010, gamma = 50.118723, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.200010, gamma = 73.162024, recall = 0.066667, precision = 0.062500, auc = 0.002307, f1 = 0.064516
nu = 0.200010, gamma = 106.800043, recall = 0.116667, precision = 0.109375, auc = 0.010712, f1 = 0.112903
nu = 0.200010, gamma = 155.903959, recall = 0.216667, precision = 0.203125, auc = 0.039956, f1 = 0.209677
nu = 0.200010, gamma = 227.584593, recall = 0.266667, precision = 0.250000, auc = 0.082095, f1 = 0.258065
nu = 0.200010, gamma = 332.222140, recall = 0.416667, precision = 0.390625, auc = 0.174533, f1 = 0.403226
nu = 0.200010, gamma = 484.969343, recall = 0.500000, precision = 0.468750, auc = 0.244292, f1 = 0.483871
nu = 0.200010, gamma = 707.945784, recall = 0.500000, precision = 0.468750, auc = 0.266636, f1 = 0.483871
nu = 0.200010, gamma = 1033.441064, recall = 0.500000, precision = 0.468750, auc = 0.307929, f1 = 0.483871
nu = 0.200010, gamma = 1508.590709, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.200010, gamma = 2202.201950, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.200010, gamma = 3214.717816, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.200010, gamma = 4692.762459, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.200010, gamma = 6850.374048, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.200010, gamma = 10000.000000, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.250010, gamma = 50.118723, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.250010, gamma = 73.162024, recall = 0.066667, precision = 0.062500, auc = 0.002246, f1 = 0.064516
nu = 0.250010, gamma = 106.800043, recall = 0.116667, precision = 0.109375, auc = 0.010712, f1 = 0.112903
nu = 0.250010, gamma = 155.903959, recall = 0.216667, precision = 0.203125, auc = 0.039956, f1 = 0.209677
nu = 0.250010, gamma = 227.584593, recall = 0.266667, precision = 0.250000, auc = 0.082095, f1 = 0.258065
nu = 0.250010, gamma = 332.222140, recall = 0.416667, precision = 0.390625, auc = 0.174352, f1 = 0.403226
nu = 0.250010, gamma = 484.969343, recall = 0.500000, precision = 0.468750, auc = 0.244292, f1 = 0.483871
nu = 0.250010, gamma = 707.945784, recall = 0.500000, precision = 0.468750, auc = 0.266636, f1 = 0.483871
nu = 0.250010, gamma = 1033.441064, recall = 0.516667, precision = 0.484375, auc = 0.312083, f1 = 0.500000
nu = 0.250010, gamma = 1508.590709, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.250010, gamma = 2202.201950, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.250010, gamma = 3214.717816, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.250010, gamma = 4692.762459, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.250010, gamma = 6850.374048, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.250010, gamma = 10000.000000, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.300010, gamma = 50.118723, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.300010, gamma = 73.162024, recall = 0.066667, precision = 0.062500, auc = 0.002213, f1 = 0.064516
nu = 0.300010, gamma = 106.800043, recall = 0.116667, precision = 0.109375, auc = 0.010548, f1 = 0.112903
nu = 0.300010, gamma = 155.903959, recall = 0.216667, precision = 0.203125, auc = 0.039956, f1 = 0.209677
nu = 0.300010, gamma = 227.584593, recall = 0.266667, precision = 0.250000, auc = 0.082095, f1 = 0.258065
nu = 0.300010, gamma = 332.222140, recall = 0.416667, precision = 0.390625, auc = 0.174533, f1 = 0.403226
nu = 0.300010, gamma = 484.969343, recall = 0.500000, precision = 0.468750, auc = 0.244292, f1 = 0.483871
nu = 0.300010, gamma = 707.945784, recall = 0.500000, precision = 0.468750, auc = 0.266636, f1 = 0.483871
nu = 0.300010, gamma = 1033.441064, recall = 0.516667, precision = 0.484375, auc = 0.307712, f1 = 0.500000
nu = 0.300010, gamma = 1508.590709, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.300010, gamma = 2202.201950, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.300010, gamma = 3214.717816, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.300010, gamma = 4692.762459, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.300010, gamma = 6850.374048, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.300010, gamma = 10000.000000, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.350010, gamma = 50.118723, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.350010, gamma = 73.162024, recall = 0.050000, precision = 0.046875, auc = 0.001276, f1 = 0.048387
nu = 0.350010, gamma = 106.800043, recall = 0.116667, precision = 0.109375, auc = 0.010362, f1 = 0.112903
nu = 0.350010, gamma = 155.903959, recall = 0.216667, precision = 0.203125, auc = 0.039956, f1 = 0.209677
nu = 0.350010, gamma = 227.584593, recall = 0.266667, precision = 0.250000, auc = 0.082095, f1 = 0.258065
nu = 0.350010, gamma = 332.222140, recall = 0.416667, precision = 0.390625, auc = 0.174533, f1 = 0.403226
nu = 0.350010, gamma = 484.969343, recall = 0.500000, precision = 0.468750, auc = 0.244292, f1 = 0.483871
nu = 0.350010, gamma = 707.945784, recall = 0.500000, precision = 0.468750, auc = 0.266636, f1 = 0.483871
nu = 0.350010, gamma = 1033.441064, recall = 0.516667, precision = 0.484375, auc = 0.317682, f1 = 0.500000
nu = 0.350010, gamma = 1508.590709, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.350010, gamma = 2202.201950, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.350010, gamma = 3214.717816, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.350010, gamma = 4692.762459, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.350010, gamma = 6850.374048, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
nu = 0.350010, gamma = 10000.000000, recall = 0.000000, precision = 0.000000, auc = 0.000000, f1 = 0.000000
############################################
Best F1-score: nu = 0.100010, gamma = 1033.441064, F1-score = 0.500000
